scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S001pure.stri__init,S,init,strict,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_open,S,db_open,strict,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_read,S,db_read,strict,none,none,0,none,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_read_p25,S,db_read_p25,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_read_p50,S,db_read_p50,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_read_p75,S,db_read_p75,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_parse,S,db_parse,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_parse_p25,S,db_parse_p25,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_parse_p50,S,db_parse_p50,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_parse_p75,S,db_parse_p75,strict,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__epg_index,S,epg_index,strict,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__epg_index_p25,S,epg_index_p25,strict,none,none,0,none,1,0,0,4380,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__epg_index_p50,S,epg_index_p50,strict,none,none,0,none,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__epg_index_p75,S,epg_index_p75,strict,none,none,0,none,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__epg_text,S,epg_text,strict,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__epg_reserve,S,epg_reserve,strict,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__timer_armed,S,timer_armed,strict,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S001pure.stri__db_watch,S,db_watch,strict,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.146364) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S001pure.stri__ready,S,ready,strict,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.181045) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S001pure.stri__steady,S,steady,strict,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.173215) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___init,S,init,ext_unix,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_open,S,db_open,ext_unix,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_read,S,db_read,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_read_p25,S,db_read_p25,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_read_p50,S,db_read_p50,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_read_p75,S,db_read_p75,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_parse,S,db_parse,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_parse_p25,S,db_parse_p25,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_parse_p50,S,db_parse_p50,ext_unix,none,none,0,none,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
