name,features,n_phases,phases,desc,risks
fp_s_plain,plain,6,init base_mem f_plain ready served_first steady,single-feature probe: 아무 자원도 없는 최소 앱 (대조군),plain:none
fp_s_large_heap,large_heap,8,init base_mem f_large_heap_l01 f_large_heap_l02 f_large_heap ready served_first steady,single-feature probe: 대형 힙 (브라우저/게임의 리소스 로딩),large_heap:none — dump 이미지만 커짐
fp_s_dirty_churn,dirty_churn,6,init base_mem f_dirty_churn ready served_first steady,single-feature probe: 메모리를 계속 더럽히는 상태 갱신 (EPG/캐시 갱신),dirty_churn:none — dump 시점 dirty 양 변동
fp_s_logfile,logfile,8,init base_mem f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,single-feature probe: append 로그 파일 fd (모든 서비스 데몬),logfile:low — regular file fd
fp_s_tmpunlink,tmpunlink,9,init base_mem f_tmpunlink_l01 f_tmpunlink_l02 f_tmpunlink_l03 f_tmpunlink ready served_first steady,single-feature probe: 열어둔 채 unlink한 임시파일 (캐시/다운로드 중간파일),tmpunlink:medium — ghost file 복원 경로
fp_s_fifo,fifo,9,init base_mem f_fifo_l01 f_fifo_l02 f_fifo_l03 f_fifo ready served_first steady,single-feature probe: named pipe (레거시 IPC),fifo:low
fp_s_pipe,pipe,8,init base_mem f_pipe_l01 f_pipe_l02 f_pipe ready served_first steady,single-feature probe: 익명 파이프 + 미소비 데이터 (자식 헬퍼 통신),pipe:low — 파이프 버퍼 내용 dump
fp_s_socketpair,socketpair,7,init base_mem f_socketpair_l01 f_socketpair ready served_first steady,single-feature probe: AF_UNIX socketpair (프로세스 내부 채널),socketpair:low
fp_s_unix_listen,unix_listen,12,init base_mem f_unix_listen_l01 f_unix_listen_l02 f_unix_listen_l03 f_unix_listen_l04 f_unix_listen_l05 f_unix_listen_l06 f_unix_listen ready served_first steady,single-feature probe: UNIX 도메인 listen 소켓 (luna-service 류 데몬),unix_listen:medium — bind 경로 재생성
fp_s_unix_conn,unix_conn,11,init base_mem f_unix_conn_l01 f_unix_conn_l02 f_unix_conn_l03 f_unix_conn_l04 f_unix_conn_l05 f_unix_conn ready served_first steady,single-feature probe: 연결 성립된 UNIX 소켓 쌍 (버스 클라이언트),unix_conn:medium — established unix
fp_s_tcp_listen2,tcp_listen2,6,init base_mem f_tcp_listen2 ready served_first steady,single-feature probe: 보조 TCP listen 소켓 (관리 포트),tcp_listen2:low
fp_s_tcp_established,tcp_established,13,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established ready served_first steady,single-feature probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요)
fp_s_udp,udp,9,init base_mem f_udp_l01 f_udp_l02 f_udp_l03 f_udp ready served_first steady,single-feature probe: 바인드된 UDP 소켓 (텔레메트리/디스커버리),udp:low
fp_s_timerfd,timerfd,10,init base_mem f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,single-feature probe: 주기 timerfd (프레임/폴링 타이머),timerfd:low
fp_s_eventfd,eventfd,6,init base_mem f_eventfd ready served_first steady,single-feature probe: eventfd (이벤트 루프 wakeup),eventfd:low
fp_s_signalfd,signalfd,8,init base_mem f_signalfd_l01 f_signalfd_l02 f_signalfd ready served_first steady,single-feature probe: signalfd (시그널 기반 제어),signalfd:low
fp_s_epoll,epoll,10,init base_mem f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,single-feature probe: epoll 인스턴스 + 등록 fd (이벤트 루프),epoll:low
fp_s_inotify,inotify,10,init base_mem f_inotify_l01 f_inotify_l02 f_inotify_l03 f_inotify_l04 f_inotify ready served_first steady,single-feature probe: inotify 감시 (설정/미디어 디렉터리 워처),inotify:medium — watch 경로 복원
fp_s_memfd,memfd,11,init base_mem f_memfd_l01 f_memfd_l02 f_memfd_l03 f_memfd_l04 f_memfd_l05 f_memfd ready served_first steady,single-feature probe: memfd + mmap (GPU/렌더 버퍼 전달),memfd:low (CRIU 4.x 지원)
fp_s_shm_posix,shm_posix,13,init base_mem f_shm_posix_l01 f_shm_posix_l02 f_shm_posix_l03 f_shm_posix_l04 f_shm_posix_l05 f_shm_posix_l06 f_shm_posix_l07 f_shm_posix ready served_first steady,single-feature probe: POSIX 공유메모리 (컴포지터/서비스 간 버퍼),shm_posix:medium
fp_s_shm_sysv,shm_sysv,10,init base_mem f_shm_sysv_l01 f_shm_sysv_l02 f_shm_sysv_l03 f_shm_sysv_l04 f_shm_sysv ready served_first steady,"single-feature probe: SysV 공유메모리, attach 후 IPC_RMID (오디오/AV 파이프라인 레거시)",shm_sysv:HIGH — RMID된 세그먼트 복원
fp_s_mq,mq,11,init base_mem f_mq_l01 f_mq_l02 f_mq_l03 f_mq_l04 f_mq_l05 f_mq ready served_first steady,single-feature probe: POSIX 메시지 큐 + 미소비 메시지 (서비스 명령 큐),mq:medium
fp_s_sem_sysv,sem_sysv,8,init base_mem f_sem_sysv_l01 f_sem_sysv_l02 f_sem_sysv ready served_first steady,single-feature probe: SysV 세마포어 (레거시 락),sem_sysv:medium
fp_s_thread1,thread1,6,init base_mem f_thread1 ready served_first steady,single-feature probe: 워커 스레드 1개 (I/O 헬퍼),thread1:low
fp_s_thread4,thread4,6,init base_mem f_thread4 ready served_first steady,single-feature probe: 워커 스레드 4개 (디코더/렌더 풀),thread4:low
fp_s_futex_wait,futex_wait,6,init base_mem f_futex_wait ready served_first steady,single-feature probe: futex(조건변수)에 영구 블록된 스레드 (유휴 워커풀),futex_wait:medium — 블록 상태 복원
fp_s_child,child,6,init base_mem f_child ready served_first steady,single-feature probe: 자식 프로세스 1 (헬퍼/플러그인 프로세스),child:low — 프로세스 트리 dump
fp_s_grandchild,grandchild,6,init base_mem f_grandchild ready served_first steady,single-feature probe: 자식의 자식 (2단 트리 — 앱이 띄운 헬퍼의 헬퍼),grandchild:medium — 깊은 트리
fp_s_session,session,6,init base_mem f_session ready served_first steady,single-feature probe: setsid로 세션 분리 (데몬화 관례),session:medium — 세션 리더 복원
fp_s_mmap_priv,mmap_priv,12,init base_mem f_mmap_priv_l01 f_mmap_priv_l02 f_mmap_priv_l03 f_mmap_priv_l04 f_mmap_priv_l05 f_mmap_priv_l06 f_mmap_priv ready served_first steady,single-feature probe: 파일 MAP_PRIVATE 매핑 (리소스/폰트 로딩),mmap_priv:low
fp_s_mmap_shared,mmap_shared,12,init base_mem f_mmap_shared_l01 f_mmap_shared_l02 f_mmap_shared_l03 f_mmap_shared_l04 f_mmap_shared_l05 f_mmap_shared_l06 f_mmap_shared ready served_first steady,single-feature probe: 파일 MAP_SHARED rw 매핑 (설정 캐시 파일),mmap_shared:medium — 파일 동기화 의미
fp_s_mlock,mlock,10,init base_mem f_mlock_l01 f_mlock_l02 f_mlock_l03 f_mlock_l04 f_mlock ready served_first steady,single-feature probe: mlock된 영역 (오디오 언더런 방지 버퍼),mlock:medium — 권한/한도
fp_s_rlimit,rlimit,7,init base_mem f_rlimit_l01 f_rlimit ready served_first steady,single-feature probe: 낮춘 RLIMIT_NOFILE (샌드박스 관례),rlimit:low
fp_s_itimer,itimer,9,init base_mem f_itimer_l01 f_itimer_l02 f_itimer_l03 f_itimer ready served_first steady,single-feature probe: setitimer 주기 SIGALRM (레거시 워치독),itimer:medium — 진행 중 타이머+핸들러
fp_s_posix_timer,posix_timer,12,init base_mem f_posix_timer_l01 f_posix_timer_l02 f_posix_timer_l03 f_posix_timer_l04 f_posix_timer_l05 f_posix_timer_l06 f_posix_timer ready served_first steady,single-feature probe: timer_create RT 시그널 타이머,posix_timer:medium
fp_s_sigaltstack,sigaltstack,8,init base_mem f_sigaltstack_l01 f_sigaltstack_l02 f_sigaltstack ready served_first steady,single-feature probe: 대체 시그널 스택 (크래시 핸들러 관례),sigaltstack:low
fp_s_cwd_tmp,cwd_tmp,8,init base_mem f_cwd_tmp_l01 f_cwd_tmp_l02 f_cwd_tmp ready served_first steady,single-feature probe: 작업 디렉터리 이동 (앱 데이터 디렉터리),cwd_tmp:low — cwd 경로 존재 필요
fp_s_devnull,devnull,6,init base_mem f_devnull ready served_first steady,single-feature probe: /dev/null 추가 fd 3개,devnull:low
fp_s_devurandom,devurandom,7,init base_mem f_devurandom_l01 f_devurandom ready served_first steady,single-feature probe: /dev/urandom fd (난수 소스 상시 오픈),devurandom:medium — 캐릭터 디바이스
fp_s_tty,tty,9,init base_mem f_tty_l01 f_tty_l02 f_tty_l03 f_tty ready served_first steady,single-feature probe: /dev/tty 오픈 시도 (디버그 콘솔),tty:HIGH — 터미널 fd; ctty 없으면 open 자체가 skip
fp_s_netlink,netlink,11,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink ready served_first steady,single-feature probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시),netlink:HIGH — netlink 복원 제한
